"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"29. Jan. 2019","20,585","20,600","20,600","20,600","0,02K","0,17%"
"28. Jan. 2019","20,550","20,520","20,520","20,500","0,01K","-1,63%"
"25. Jan. 2019","20,890","20,730","20,890","20,690","0,03K","-1,83%"
"24. Jan. 2019","21,280","21,720","21,820","21,360","0,08K","-4,10%"
"23. Jan. 2019","22,190","22,230","22,300","22,130","0,05K","1,70%"
"22. Jan. 2019","21,820","21,800","21,890","21,610","0,13K","-3,47%"
"18. Jan. 2019","22,605","22,840","23,015","22,525","0,09K","-1,72%"
"17. Jan. 2019","23,000","22,640","23,140","22,640","0,03K","4,55%"
"16. Jan. 2019","22,000","22,300","22,300","22,090","0,02K","0,00%"
"15. Jan. 2019","22,000","22,040","22,040","21,950","0,02K","1,50%"
"14. Jan. 2019","21,675","21,910","21,910","21,685","0,05K","-2,61%"
"11. Jan. 2019","22,255","22,390","22,390","22,085","0,08K","2,65%"
"10. Jan. 2019","21,680","21,700","21,700","21,700","0,01K","-0,18%"
"09. Jan. 2019","21,720","22,520","22,520","21,750","0,02K","-1,67%"
"08. Jan. 2019","22,090","22,165","22,165","22,165","0,01K","2,60%"
"07. Jan. 2019","21,530","21,910","21,910","21,470","0,04K","-6,11%"
"04. Jan. 2019","22,930","22,840","22,950","22,810","0,04K","3,06%"
"03. Jan. 2019","22,250","22,210","22,210","22,110","0,01K","-1,00%"
"02. Jan. 2019","22,475","22,280","22,550","22,145","0,02K","2,25%"
"31. Dez. 2018","21,980","22,260","22,260","22,180","0,01K","-3,64%"
"28. Dez. 2018","22,810","22,810","22,810","22,810","","-2,19%"
"27. Dez. 2018","23,320","23,320","23,320","23,320","0,03K","-3,82%"
"26. Dez. 2018","24,245","24,250","24,250","24,250","","-0,02%"
"24. Dez. 2018","24,250","24,730","24,760","24,270","0,06K","-2,61%"
"21. Dez. 2018","24,900","24,650","24,745","24,650","0,06K","1,20%"
"20. Dez. 2018","24,605","24,610","24,610","24,610","0,05K","1,63%"
"19. Dez. 2018","24,210","24,210","24,210","24,210","0,03K","2,02%"
"18. Dez. 2018","23,730","24,035","24,035","23,725","0,07K","-3,85%"
"17. Dez. 2018","24,680","24,650","24,650","24,650","0,03K","0,14%"
"14. Dez. 2018","24,645","24,665","24,790","24,660","0,03K","1,73%"
"13. Dez. 2018","24,225","24,375","24,375","24,375","0,02K","1,28%"
"12. Dez. 2018","23,920","24,050","24,190","24,050","0,03K","1,27%"
"11. Dez. 2018","23,620","23,550","23,630","23,550","0,05K","1,59%"
"10. Dez. 2018","23,250","23,270","23,300","23,270","0,03K","0,48%"
"07. Dez. 2018","23,140","22,840","23,180","22,840","0,06K","-0,11%"
"06. Dez. 2018","23,165","23,305","23,395","23,135","0,05K","-2,75%"
"05. Dez. 2018","23,820","24,110","24,110","24,110","0,09K","-2,44%"
"04. Dez. 2018","24,415","24,395","24,395","24,375","0,04K","-2,69%"
"03. Dez. 2018","25,090","25,090","25,090","25,090","0,04K","1,62%"
"30. Nov. 2018","24,690","24,690","24,690","24,690","0,01K","0,20%"
"29. Nov. 2018","24,640","24,640","24,640","24,640","","1,40%"
"28. Nov. 2018","24,300","24,400","24,400","24,400","0,02K","-3,42%"
"27. Nov. 2018","25,160","24,800","25,000","24,790","0,03K","2,48%"
"26. Nov. 2018","24,550","24,270","24,550","24,110","0,04K","-1,09%"
"23. Nov. 2018","24,820","24,035","25,170","24,035","0,06K","1,31%"
"21. Nov. 2018","24,500","24,195","24,420","24,195","0,02K","0,62%"
"20. Nov. 2018","24,350","24,430","24,500","24,265","0,06K","0,83%"
"19. Nov. 2018","24,150","24,310","24,390","24,310","0,01K","-6,94%"
"16. Nov. 2018","25,950","26,730","26,730","25,650","0,06K","-2,72%"
"15. Nov. 2018","26,675","26,150","26,720","26,150","0,06K","1,50%"
"14. Nov. 2018","26,280","26,260","26,480","26,260","0,03K","-0,90%"
"13. Nov. 2018","26,520","26,230","26,580","26,230","0,09K","2,20%"
"12. Nov. 2018","25,950","25,620","25,910","25,620","0,05K","6,70%"
"09. Nov. 2018","24,320","24,760","24,760","24,550","0,02K","-0,45%"
"08. Nov. 2018","24,430","24,630","24,630","24,630","0,01K","0,04%"
"07. Nov. 2018","24,420","24,330","24,445","24,330","0,02K","2,20%"
"06. Nov. 2018","23,895","23,625","23,770","23,625","0,02K","0,36%"
"05. Nov. 2018","23,810","23,810","23,810","23,810","","-1,98%"
"02. Nov. 2018","24,290","23,910","23,970","23,910","0,01K","2,71%"
"01. Nov. 2018","23,650","23,980","23,980","23,980","0,01K","-2,81%"
"31. Okt. 2018","24,335","24,340","24,340","24,340","","1,91%"
"30. Okt. 2018","23,880","23,880","23,880","23,880","","-2,85%"
"29. Okt. 2018","24,580","24,580","24,580","24,580","","1,24%"
"26. Okt. 2018","24,280","24,280","24,280","24,280","","-2,33%"
"25. Okt. 2018","24,860","24,860","24,860","24,860","","-1,58%"
"24. Okt. 2018","25,260","25,260","25,260","25,260","","-1,56%"
"23. Okt. 2018","25,660","25,660","25,660","25,660","","-1,72%"
"22. Okt. 2018","26,110","26,110","26,110","26,110","","-2,79%"
"19. Okt. 2018","26,860","26,860","26,860","26,860","","3,21%"
"18. Okt. 2018","26,025","26,020","26,020","26,020","","0,33%"
"17. Okt. 2018","25,940","25,620","25,620","25,620","0,00K","-1,48%"
"16. Okt. 2018","26,330","26,330","26,330","26,330","0,01K","-1,11%"
"15. Okt. 2018","26,625","27,050","27,050","27,050","0,01K","-0,02%"
"12. Okt. 2018","26,630","26,630","26,630","26,630","","3,38%"
"11. Okt. 2018","25,760","25,925","25,925","25,925","0,01K","-1,75%"
"10. Okt. 2018","26,220","26,620","26,620","26,620","0,02K","-2,29%"
"09. Okt. 2018","26,835","26,840","26,840","26,840","","-1,41%"
"08. Okt. 2018","27,220","27,220","27,220","27,220","","-2,44%"
"05. Okt. 2018","27,900","27,900","27,900","27,900","","1,57%"
"04. Okt. 2018","27,470","27,470","27,470","27,470","","1,31%"
"03. Okt. 2018","27,115","27,110","27,110","27,110","","-0,51%"
"02. Okt. 2018","27,255","27,860","27,860","27,425","0,01K","-0,71%"
"01. Okt. 2018","27,450","26,730","27,360","26,590","0,07K","0,44%"
"28. Sept. 2018","27,330","27,900","27,900","27,450","0,07K","-0,87%"
"27. Sept. 2018","27,570","27,570","27,570","27,570","","-2,44%"
"26. Sept. 2018","28,260","28,260","28,260","28,260","","-3,32%"
"25. Sept. 2018","29,230","29,355","29,535","28,815","0,06K","-0,05%"
"24. Sept. 2018","29,245","29,490","29,560","29,300","0,08K","1,79%"
"21. Sept. 2018","28,730","28,110","28,790","28,050","0,09K","0,49%"
"20. Sept. 2018","28,590","28,830","29,070","28,595","0,10K","0,95%"
"19. Sept. 2018","28,320","27,730","28,380","27,730","0,03K","3,32%"
"18. Sept. 2018","27,410","27,590","27,590","27,270","0,07K","-2,35%"
"17. Sept. 2018","28,070","28,200","28,200","27,820","0,09K","4,23%"
"14. Sept. 2018","26,930","27,020","27,110","26,790","0,09K","0,45%"
"13. Sept. 2018","26,810","27,335","27,375","26,655","0,09K","-2,49%"
"12. Sept. 2018","27,495","27,640","28,145","27,460","0,07K","-4,46%"
"11. Sept. 2018","28,780","28,270","28,650","28,250","0,02K","-1,18%"
"10. Sept. 2018","29,125","28,590","28,775","28,540","0,03K","4,06%"
"07. Sept. 2018","27,990","28,020","28,020","28,020","0,01K","1,95%"
"06. Sept. 2018","27,455","27,420","27,420","27,410","0,01K","1,61%"
"05. Sept. 2018","27,020","27,020","27,020","27,020","","1,16%"
"04. Sept. 2018","26,710","26,960","26,960","26,660","0,05K","3,37%"
"31. Aug. 2018","25,840","26,020","26,020","26,020","0,01K","-1,11%"
"30. Aug. 2018","26,130","26,130","26,130","26,130","","1,01%"
"29. Aug. 2018","25,870","25,870","25,870","25,870","","2,01%"
"28. Aug. 2018","25,360","25,500","25,500","25,500","0,01K","-0,20%"
"27. Aug. 2018","25,410","25,410","25,410","25,410","","1,72%"
"24. Aug. 2018","24,980","24,880","24,890","24,880","0,01K","0,89%"
"23. Aug. 2018","24,760","24,820","24,820","24,710","0,01K","1,27%"
"22. Aug. 2018","24,450","24,730","24,730","24,410","0,02K","0,18%"
"21. Aug. 2018","24,405","24,410","24,410","24,410","","0,93%"
"20. Aug. 2018","24,180","23,910","24,180","23,820","0,02K","0,10%"
"17. Aug. 2018","24,155","24,160","24,185","24,160","0,01K","1,32%"
"16. Aug. 2018","23,840","23,880","23,880","23,850","0,05K","1,36%"
"15. Aug. 2018","23,520","23,520","23,520","23,470","0,02K","-0,88%"
"14. Aug. 2018","23,730","23,780","23,780","23,780","0,01K","0,98%"
"13. Aug. 2018","23,500","23,500","23,500","23,500","","2,71%"
"10. Aug. 2018","22,880","22,620","22,620","22,590","0,02K","0,75%"
"09. Aug. 2018","22,710","22,770","22,800","22,770","0,01K","0,49%"
"08. Aug. 2018","22,600","22,675","22,675","22,650","0,02K","-0,04%"
"07. Aug. 2018","22,610","22,800","22,800","22,770","0,01K","0,49%"
"06. Aug. 2018","22,500","22,500","22,500","22,500","","1,08%"
"03. Aug. 2018","22,260","22,260","22,260","22,260","","1,50%"
"02. Aug. 2018","21,930","22,000","22,000","22,000","0,01K","0,00%"
"01. Aug. 2018","21,930","21,930","21,930","21,930","","-0,81%"
"31. Juli 2018","22,110","22,110","22,110","22,110","0,01K","0,23%"
"30. Juli 2018","22,060","22,060","22,060","22,060","","0,78%"
"27. Juli 2018","21,890","21,890","21,890","21,890","","-1,02%"
"26. Juli 2018","22,115","22,110","22,110","22,110","","-0,25%"
"25. Juli 2018","22,170","22,170","22,170","22,170","","0,34%"
"24. Juli 2018","22,095","22,090","22,090","22,090","","0,30%"
"23. Juli 2018","22,030","22,030","22,030","22,030","","0,71%"
"20. Juli 2018","21,875","21,880","21,880","21,880","","-1,29%"
"19. Juli 2018","22,160","22,300","22,300","22,300","0,01K","0,09%"
"18. Juli 2018","22,140","22,140","22,140","22,140","","1,33%"
"17. Juli 2018","21,850","21,850","21,850","21,850","","-0,77%"
"16. Juli 2018","22,020","22,020","22,020","22,020","","-1,12%"
"13. Juli 2018","22,270","22,270","22,270","22,270","","1,37%"
"12. Juli 2018","21,970","21,970","21,970","21,970","","-2,70%"
"11. Juli 2018","22,580","22,580","22,580","22,580","","-0,66%"
"10. Juli 2018","22,730","22,730","22,730","22,730","","0,00%"
"09. Juli 2018","22,730","22,730","22,730","22,730","","1,65%"
"06. Juli 2018","22,360","22,360","22,360","22,360","","-0,45%"
"05. Juli 2018","22,460","22,460","22,460","22,460","","0,90%"
"03. Juli 2018","22,260","22,260","22,260","22,260","","0,09%"
"02. Juli 2018","22,240","22,240","22,240","22,240","","1,67%"
"29. Juni 2018","21,875","21,880","21,880","21,880","","-0,39%"
"28. Juni 2018","21,960","21,960","21,960","21,960","","-0,34%"
"27. Juni 2018","22,035","22,040","22,040","22,040","","2,51%"
"26. Juni 2018","21,495","21,500","21,500","21,500","0,02K","-0,26%"
"25. Juni 2018","21,550","21,630","21,630","21,630","0,01K","-0,51%"
"22. Juni 2018","21,660","21,660","21,660","21,660","0,01K","0,51%"
"21. Juni 2018","21,550","21,550","21,550","21,550","","0,23%"
"20. Juni 2018","21,500","21,500","21,500","21,500","0,00K","-0,92%"
"19. Juni 2018","21,700","21,700","21,700","21,700","0,00K","-1,99%"
"18. Juni 2018","22,140","22,140","22,140","22,140","","1,79%"
"15. Juni 2018","21,750","21,750","21,750","21,750","","-2,73%"
"14. Juni 2018","22,360","22,360","22,360","22,360","","-0,09%"
"13. Juni 2018","22,380","22,380","22,380","22,380","","2,71%"
"12. Juni 2018","21,790","21,790","21,790","21,790","","2,06%"
"11. Juni 2018","21,350","21,350","21,350","21,350","","-0,88%"
"08. Juni 2018","21,540","21,540","21,540","21,540","","-0,55%"
"07. Juni 2018","21,660","21,660","21,660","21,660","","1,59%"
"06. Juni 2018","21,320","21,320","21,320","21,320","","-0,51%"
"05. Juni 2018","21,430","21,430","21,430","21,430","","-2,19%"
"04. Juni 2018","21,910","21,910","21,910","21,910","","0,64%"
"01. Juni 2018","21,770","21,770","21,770","21,770","","-3,59%"
"31. Mai 2018","22,580","22,580","22,580","22,580","","-1,74%"
"30. Mai 2018","22,980","22,980","22,980","22,980","","1,41%"
"29. Mai 2018","22,660","22,660","22,660","22,660","","3,94%"
"25. Mai 2018","21,800","22,260","22,260","22,130","0,02K","-3,96%"
"24. Mai 2018","22,700","22,700","22,700","22,700","","-0,04%"
"23. Mai 2018","22,710","22,710","22,710","22,710","","-0,85%"
"22. Mai 2018","22,905","22,910","22,910","22,910","","2,37%"
"21. Mai 2018","22,375","22,380","22,380","22,380","","1,45%"
"18. Mai 2018","22,055","22,050","22,050","22,050","","-1,10%"
"17. Mai 2018","22,300","22,300","22,300","22,300","","2,91%"
"16. Mai 2018","21,670","21,395","21,395","21,395","0,01K","0,60%"
"15. Mai 2018","21,540","21,540","21,540","21,540","0,03K","-0,39%"
"14. Mai 2018","21,625","21,620","21,620","21,620","","1,67%"
"11. Mai 2018","21,270","21,270","21,270","21,270","0,01K","1,26%"
"10. Mai 2018","21,005","21,000","21,000","21,000","","0,79%"
"09. Mai 2018","20,840","21,140","21,140","20,840","0,02K","1,17%"
"08. Mai 2018","20,600","20,600","20,600","20,600","","0,88%"
"07. Mai 2018","20,420","20,420","20,420","20,420","","0,00%"
"04. Mai 2018","20,420","20,420","20,420","20,420","","2,36%"
"03. Mai 2018","19,950","19,950","19,950","19,950","","0,45%"
"02. Mai 2018","19,860","19,860","19,860","19,860","","-1,17%"
"01. Mai 2018","20,095","20,090","20,090","20,090","","-2,26%"
"30. Apr. 2018","20,560","20,560","20,560","20,560","","1,43%"
"27. Apr. 2018","20,270","20,270","20,270","20,270","","0,60%"
"26. Apr. 2018","20,150","20,150","20,150","20,150","","1,36%"
"25. Apr. 2018","19,880","19,550","19,560","19,550","0,02K","1,02%"
"24. Apr. 2018","19,680","19,640","19,640","19,620","0,02K","-1,06%"
"23. Apr. 2018","19,890","19,890","19,890","19,890","","0,45%"
"20. Apr. 2018","19,800","19,840","19,840","19,840","0,01K","-0,30%"
"19. Apr. 2018","19,860","19,520","19,520","19,520","0,02K","2,85%"
"18. Apr. 2018","19,310","19,310","19,310","19,310","","1,55%"
"17. Apr. 2018","19,015","19,020","19,020","19,020","","-1,73%"
"16. Apr. 2018","19,350","19,350","19,350","19,350","","-1,12%"
"13. Apr. 2018","19,570","19,570","19,570","19,570","","1,87%"
"12. Apr. 2018","19,210","19,210","19,210","19,210","","-0,23%"
"11. Apr. 2018","19,255","19,250","19,250","19,250","","2,20%"
"10. Apr. 2018","18,840","18,840","18,840","18,840","","1,05%"
"09. Apr. 2018","18,645","18,640","18,640","18,640","","2,56%"
"06. Apr. 2018","18,180","18,180","18,180","18,180","","0,28%"
"05. Apr. 2018","18,130","18,130","18,130","18,130","","-0,30%"
"04. Apr. 2018","18,185","18,180","18,180","18,180","","0,80%"
"03. Apr. 2018","18,040","18,040","18,040","18,040","","-1,04%"
"02. Apr. 2018","18,230","18,230","18,230","18,230","","0,03%"
"29. März 2018","18,225","18,230","18,230","18,230","","-0,79%"
"28. März 2018","18,370","18,370","18,370","18,370","","-0,70%"
"27. März 2018","18,500","18,500","18,500","18,500","","2,83%"
"26. März 2018","17,990","17,990","17,990","17,990","","-2,49%"
"23. März 2018","18,450","18,450","18,450","18,450","","-2,95%"
"22. März 2018","19,010","19,010","19,010","19,010","","-1,96%"
"21. März 2018","19,390","19,390","19,390","19,390","0,01K","1,09%"
"20. März 2018","19,180","19,180","19,180","19,180","","2,57%"
"19. März 2018","18,700","18,700","18,700","18,700","","0,21%"
"16. März 2018","18,660","18,660","18,660","18,660","0,03K","-0,74%"
"15. März 2018","18,800","18,800","18,800","18,800","0,01K","1,02%"
"14. März 2018","18,610","18,610","18,610","18,610","","-4,37%"
"13. März 2018","19,460","19,460","19,460","19,460","","-1,27%"
"12. März 2018","19,710","19,710","19,710","19,710","0,05K","4,07%"
"09. März 2018","18,940","18,940","18,940","18,940","0,04K","3,41%"
"08. März 2018","18,315","18,320","18,320","18,320","","2,72%"
"07. März 2018","17,830","17,830","17,830","17,830","","0,73%"
"06. März 2018","17,700","17,700","17,700","17,700","","1,03%"
"05. März 2018","17,520","17,520","17,520","17,520","","-1,60%"
"02. März 2018","17,805","17,800","17,800","17,800","","1,40%"
"01. März 2018","17,560","17,560","17,560","17,560","0,05K","1,21%"
"28. Feb. 2018","17,350","17,350","17,350","17,350","","-9,61%"
"27. Feb. 2018","19,195","19,200","19,200","19,200","","2,70%"
"26. Feb. 2018","18,690","18,690","18,690","18,690","","-8,43%"
"23. Feb. 2018","20,410","20,410","20,410","20,410","","2,36%"
"22. Feb. 2018","19,940","19,940","19,940","19,940","","0,81%"
"21. Feb. 2018","19,780","19,780","19,780","19,780","","0,05%"
"20. Feb. 2018","19,770","19,770","19,770","19,770","","8,87%"
"16. Feb. 2018","18,160","18,160","18,160","18,160","","2,08%"
"15. Feb. 2018","17,790","17,790","17,790","17,790","","-1,55%"
"14. Feb. 2018","18,070","18,070","18,070","18,070","","-1,28%"
"13. Feb. 2018","18,305","18,300","18,300","18,300","","1,98%"
"12. Feb. 2018","17,950","17,950","17,950","17,950","","0,28%"
"09. Feb. 2018","17,900","17,900","17,900","17,900","","0,90%"
"08. Feb. 2018","17,740","17,740","17,740","17,740","","-2,31%"
"07. Feb. 2018","18,160","18,160","18,160","18,160","","1,57%"
"06. Feb. 2018","17,880","17,880","17,880","17,880","","1,65%"
"05. Feb. 2018","17,590","17,590","17,590","17,590","","-3,14%"
"02. Feb. 2018","18,160","18,160","18,160","18,160","","0,06%"
"01. Feb. 2018","18,150","18,150","18,150","18,150","","1,51%"
"31. Jan. 2018","17,880","17,880","17,880","17,880","","2,70%"
"30. Jan. 2018","17,410","17,410","17,410","17,410","","0,09%"
"29. Jan. 2018","17,395","17,390","17,390","17,390","","-2,17%"
"26. Jan. 2018","17,780","17,780","17,780","17,780","","0,00%"
"25. Jan. 2018","17,780","17,780","17,780","17,780","","-0,06%"
"24. Jan. 2018","17,790","17,790","17,790","17,790","","-2,25%"
"23. Jan. 2018","18,200","18,200","18,200","18,200","","-1,86%"
"22. Jan. 2018","18,545","18,550","18,550","18,550","","1,95%"
"19. Jan. 2018","18,190","18,190","18,190","18,190","","-0,87%"
"18. Jan. 2018","18,350","18,350","18,350","18,350","","-0,49%"
"17. Jan. 2018","18,440","18,440","18,440","18,440","","-2,43%"
"16. Jan. 2018","18,900","18,900","18,900","18,900","","-4,57%"
"12. Jan. 2018","19,805","19,800","19,800","19,800","","2,51%"
"11. Jan. 2018","19,320","19,320","19,320","19,320","","0,00%"
"10. Jan. 2018","19,320","19,320","19,320","19,320","","-0,59%"
"09. Jan. 2018","19,435","19,430","19,430","19,430","","2,02%"
"08. Jan. 2018","19,050","19,050","19,050","19,050","","0,74%"
"05. Jan. 2018","18,910","18,910","18,910","18,910","","-1,51%"
"04. Jan. 2018","19,200","19,200","19,200","19,200","","-0,62%"
"03. Jan. 2018","19,320","19,320","19,320","19,320","","0,00%"
"02. Jan. 2018","19,320","19,320","19,320","19,320","","-1,53%"
